count,legislator,state,party,gender
130.0,Steve King,IA,Republican,M
103.0,Richard J. Durbin,IL,Democrat,M
57.0,Louie Gohmert,TX,Republican,M
42.0,Rob Woodall,GA,Republican,M
40.0,Harry Reid,NV,Democrat,M
39.0,Bernard Sanders,VT,Independent,M
36.0,Trent Franks,AZ,Republican,M
27.0,Patrick J. Leahy,VT,Democrat,M
24.0,Barbara Boxer,CA,Democrat,F
24.0,John R. Carter,TX,Republican,M
23.0,Sheila Jackson Lee,TX,Democrat,F
23.0,Charles B. Rangel,NY,Democrat,M
21.0,Virginia Foxx,NC,Republican,F
19.0,Steve Cohen,TN,Democrat,M
19.0,John McCain,AZ,Republican,M
19.0,Pete Sessions,TX,Republican,M
17.0,Rand Paul,KY,Republican,M
16.0,John Cornyn,TX,Republican,M
15.0,Sherrod Brown,OH,Democrat,M
15.0,James P. McGovern,MA,Democrat,M
14.0,Luis V. Guti??rrez,IL,Democrat,M
14.0,Janice D. Schakowsky,IL,Democrat,F
13.0,Alcee L. Hastings,FL,Democrat,M
12.0,Benjamin L. Cardin,MD,Democrat,M
12.0,James M. Inhofe,OK,Republican,M
12.0,Eleanor Holmes Norton,DC,Democrat,F
12.0,Lamar Smith,TX,Republican,M
11.0,Keith Ellison,MN,Democrat,M
11.0,Orrin G. Hatch,UT,Republican,M
11.0,Barbara Lee,CA,Democrat,F
11.0,Ed Perlmutter,CO,Democrat,M
11.0,Steve Scalise,LA,Republican,M
10.0,John Barrasso,WY,Republican,M
10.0,Thomas R. Carper,DE,Democrat,M
10.0,Michael M. Honda,CA,Democrat,M
10.0,Nancy Pelosi,CA,Democrat,F
9.0,G. K. Butterfield,NC,Democrat,M
9.0,Danny K. Davis,IL,Democrat,M
