count,legislator,state,party,gender
949.0,Sheldon Whitehouse,RI,Democrat,M
400.0,James M. Inhofe,OK,Republican,M
237.0,Barbara Boxer,CA,Democrat,F
221.0,Lamar Alexander,TN,Republican,M
188.0,Earl Blumenauer,OR,Democrat,M
159.0,Bernard Sanders,VT,Independent,M
131.0,Dianne Feinstein,CA,Democrat,F
110.0,Amy Klobuchar,MN,Democrat,F
108.0,John Barrasso,WY,Republican,M
105.0,Richard J. Durbin,IL,Democrat,M
95.0,Dana Rohrabacher,CA,Republican,M
93.0,John McCain,AZ,Republican,M
88.0,Harry Reid,NV,Democrat,M
82.0,Al Franken,MN,Democrat,M
80.0,Benjamin L. Cardin,MD,Democrat,M
79.0,Edward J. Markey,MA,Democrat,M
74.0,Susan M. Collins,ME,Republican,F
73.0,Patrick J. Leahy,VT,Democrat,M
72.0,Lois Capps,CA,Democrat,F
71.0,Brian Schatz,HI,Democrat,M
66.0,John Thune,SD,Republican,M
65.0,John Shimkus,IL,Republican,M
62.0,Lisa Murkowski,AK,Republican,F
60.0,Christopher A. Coons,DE,Democrat,M
58.0,Paul Tonko,NY,Democrat,M
57.0,Pat Roberts,KS,Republican,M
55.0,Betty McCollum,MN,Democrat,F
53.0,Michael B. Enzi,WY,Republican,M
53.0,Barbara Lee,CA,Democrat,F
52.0,Lindsey Graham,SC,Republican,M
47.0,Maria Cantwell,WA,Democrat,F
47.0,Jerry McNerney,CA,Democrat,M
