count,legislator,state,party,gender
8.0,James M. Inhofe,OK,Republican,M
8.0,Dana Rohrabacher,CA,Republican,M
3.0,Michael B. Enzi,WY,Republican,M
1.0,Joe Barton,TX,Republican,M
1.0,Barbara Boxer,CA,Democrat,F
1.0,John Barrasso,WY,Republican,M
1.0,Shelley Moore Capito,WV,Republican,F
1.0,John J. Duncan Jr.,TN,Republican,M
1.0,Sean P. Duffy,WI,Republican,M
1.0,Steve King,IA,Republican,M
1.0,Patrick T. McHenry,NC,Republican,M
1.0,Harry Reid,NV,Democrat,M
1.0,John Shimkus,IL,Republican,M
1.0,Sheldon Whitehouse,RI,Democrat,M
