count,legislator,state,party,gender
1485.0,Walter B. Jones,NC,Republican,M
1019.0,Louie Gohmert,TX,Republican,M
1015.0,Joe Wilson,SC,Republican,M
305.0,Steve King,IA,Republican,M
299.0,Sheila Jackson Lee,TX,Democrat,F
295.0,Charles B. Rangel,NY,Democrat,M
293.0,Barbara Boxer,CA,Democrat,F
263.0,Richard J. Durbin,IL,Democrat,M
259.0,Ted Poe,TX,Republican,M
231.0,Charles E. Schumer,NY,Democrat,M
201.0,Sam Johnson,TX,Republican,M
195.0,"Henry C. ""Hank"" Johnson Jr.",GA,Democrat,M
171.0,Nancy Pelosi,CA,Democrat,F
166.0,Michael B. Enzi,WY,Republican,M
159.0,Sanford D. Bishop Jr.,GA,Democrat,M
159.0,James M. Inhofe,OK,Republican,M
153.0,Trent Franks,AZ,Republican,M
148.0,John Shimkus,IL,Republican,M
146.0,Steny H. Hoyer,MD,Democrat,M
142.0,Dana Rohrabacher,CA,Republican,M
142.0,Christopher H. Smith,NJ,Republican,M
137.0,Marcy Kaptur,OH,Democrat,F
130.0,Jeff Miller,FL,Republican,M
127.0,Barbara A. Mikulski,MD,Democrat,F
112.0,Corrine Brown,FL,Democrat,F
110.0,Orrin G. Hatch,UT,Republican,M
