count,legislator,state,party,gender
332.0,Christopher H. Smith,NJ,Republican,M
92.0,Orrin G. Hatch,UT,Republican,M
57.0,Joseph R. Pitts,PA,Republican,M
44.0,Zoe Lofgren,CA,Democrat,F
44.0,Carolyn B. Maloney,NY,Democrat,F
43.0,Sheila Jackson Lee,TX,Democrat,F
40.0,Roy Blunt,MO,Republican,M
37.0,Edward R. Royce,CA,Republican,M
35.0,"Robert C. ""Bobby"" Scott",VA,Democrat,M
34.0,Walter B. Jones,NC,Republican,M
31.0,Daniel Coats,IN,Republican,M
31.0,Trent Franks,AZ,Republican,M
29.0,Jeff Fortenberry,NE,Republican,M
28.0,Loretta Sanchez,CA,Democrat,F
27.0,Ileana Ros-Lehtinen,FL,Republican,F
26.0,Richard J. Durbin,IL,Democrat,M
25.0,Jerrold Nadler,NY,Democrat,M
22.0,Lamar Alexander,TN,Republican,M
22.0,Barbara Boxer,CA,Democrat,F
22.0,Dianne Feinstein,CA,Democrat,F
22.0,Steve King,IA,Republican,M
22.0,Nancy Pelosi,CA,Democrat,F
21.0,Kelly Ayotte,NH,Republican,F
21.0,Benjamin L. Cardin,MD,Democrat,M
20.0,Patrick J. Leahy,VT,Democrat,M
